"","date","industry","location","monthly_amount"
"538",2013-07-01,"3","2",450004.88805
"539",2013-08-01,"3","2",556459.341213333
"540",2013-09-01,"3","2",553212.940239
"541",2013-10-01,"3","2",480865.4371488
"542",2013-11-01,"3","2",558125.981892069
"543",2013-12-01,"3","2",733867.335889032
"544",2014-01-01,"3","2",512078.402526875
"545",2014-02-01,"3","2",523175.906127576
"546",2014-03-01,"3","2",541459.768913889
"547",2014-04-01,"3","2",620896.298336944
"548",2014-05-01,"3","2",619058.072035128
"549",2014-06-01,"3","2",564416.306754444
"550",2014-07-01,"3","2",522109.691089804
"551",2014-08-01,"3","2",574982.696666981
"552",2014-09-01,"3","2",535855.406941228
"553",2014-10-01,"3","2",537059.884820847
"554",2014-11-01,"3","2",567342.419515714
"555",2014-12-01,"3","2",665176.433313333
"556",2015-01-01,"3","2",544811.990531017
"557",2015-02-01,"3","2",501569.121945938
"558",2015-03-01,"3","2",593177.894481231
"559",2015-04-01,"3","2",555882.679153231
"560",2015-05-01,"3","2",611147.505908806
"561",2015-06-01,"3","2",590317.868827463
"562",2015-07-01,"3","2",609790.336942394
"563",2015-08-01,"3","2",567859.205544756
"564",2015-09-01,"3","2",523855.954130357
"565",2015-10-01,"3","2",608779.16697241
"566",2015-11-01,"3","2",622485.994841932
"567",2015-12-01,"3","2",722390.998239884
"568",2016-01-01,"3","2",638803.122100723
"569",2016-02-01,"3","2",605266.629511084
"570",2016-03-01,"3","2",701485.438784941
"571",2016-04-01,"3","2",726694.503357356
"572",2016-05-01,"3","2",676931.059638954
"573",2016-06-01,"3","2",673517.121215412
"574",2016-07-01,"3","2",741648.473232529
"575",2016-08-01,"3","2",702643.414664824
"576",2016-09-01,"3","2",692486.580241778
"577",2016-10-01,"3","2",687856.591375408
"578",2016-11-01,"3","2",722284.831708866
"579",2013-01-01,"4","2",163936.746375294
"580",2013-02-01,"4","2",170751.980137647
"581",2013-03-01,"4","2",182867.267798333
"582",2013-04-01,"4","2",197644.232673529
"583",2013-05-01,"4","2",185300.959105789
"584",2013-06-01,"4","2",195125.982773889
"585",2013-07-01,"4","2",195960.896937778
"586",2013-08-01,"4","2",199154.169593158
"587",2013-09-01,"4","2",196001.599707368
"588",2013-10-01,"4","2",199303.070613158
"589",2013-11-01,"4","2",186588.041300526
"590",2013-12-01,"4","2",233233.241495
"591",2014-01-01,"4","2",169697.370267647
"592",2014-02-01,"4","2",180441.73291
"593",2014-03-01,"4","2",200852.439735789
"594",2014-04-01,"4","2",191424.921063333
"595",2014-05-01,"4","2",196477.723320526
"596",2014-06-01,"4","2",203679.168091111
